class,u,g,r,i,z,redshift,ra,dec,cluster
GALAXY,17.18272,16.01143,15.49419,15.17367,14.95437,0.04314189,115.4385917051156,11.814021258750842,0
GALAXY,19.3345,17.42489,16.33593,15.88075,15.49607,0.132224,198.84168484398103,50.828956780239054,0
STAR,19.25698,18.36227,17.99861,17.84266,17.78021,-0.000636488,18.182689499621567,-85.85049897986218,0
STAR,18.16437,17.08373,16.71377,16.58955,16.55388,-8.73e-05,15.797191812747698,84.49202026191361,0
QSO,19.03542,18.61695,18.57852,18.7492,18.57331,0.7328183,259.33435658359303,55.77868542702794,0
GALAXY,19.55225,18.08661,17.32818,17.04369,16.83076,0.1828747,160.01279207200477,45.20766665620411,0
STAR,19.31713,18.36261,17.98949,17.85042,17.83741,0.000516892,92.26525513291833,46.86972879249063,0
GALAXY,19.39993,17.60703,16.82038,16.44481,16.14279,0.0548524,68.54885856896767,-19.969072268642535,0
GALAXY,18.59661,17.4209,16.93185,16.60055,16.45692,0.07337552,241.1832567093185,45.29169915206646,0
QSO,19.25355,19.02339,18.9092,18.80658,18.83221,1.471454,0.1445558491223542,-20.381362451467623,0
STAR,18.53417,17.2698,16.81327,16.64998,16.60296,-4.76e-05,290.1208209108675,71.76722932346274,0
GALAXY,19.19657,18.42837,18.26309,17.97706,17.94531,0.07241829,28.529858206774374,-58.09997100483546,0
GALAXY,18.45721,16.41632,15.39759,14.87098,14.37372,0.0521358,68.936261366923,-37.37746364127273,0
GALAXY,18.65738,16.81242,15.87127,15.40341,15.05194,0.05287375,139.04510230767227,9.2407576858337,0
GALAXY,18.49187,17.01734,16.28217,15.90165,15.61033,0.0520145,174.5491462977973,-32.542013540290945,0
GALAXY,19.30246,17.45962,16.60132,16.20443,15.88714,0.05069032,127.79824169301908,-13.63729584685079,0
STAR,19.09417,18.15446,17.88659,17.78793,17.73982,-0.000621228,115.4563793943458,-1.363915908252963,0
STAR,18.85902,17.89643,17.5961,17.49184,17.44213,-0.000341564,347.0097643463478,64.14360278643156,0
GALAXY,19.27172,17.61081,16.83047,16.45928,16.16401,0.05199128,230.96868524762192,4.174605649564711,0
GALAXY,18.85973,16.97084,16.04164,15.557,15.15702,0.05333579,8.435863932259755,-24.757227249379113,0
GALAXY,18.6917,17.30278,16.5186,16.08304,15.76564,0.09714153,154.86332703995274,-45.40749047367916,0
GALAXY,19.14016,17.61819,16.82639,16.3949,16.05232,0.0724998,315.0031319078293,-16.43832381740451,0
GALAXY,18.36264,17.03878,16.44755,16.11412,15.85042,0.05199182,108.52422710784046,2.8324987945865843,0
GALAXY,17.66586,16.64884,16.25068,15.96188,15.81682,0.05238156,34.040284118779766,44.30067429658254,0
GALAXY,18.80408,17.22561,16.36152,15.87951,15.50822,0.05156742,273.0185177723704,-68.21122028897904,0
GALAXY,19.15547,17.58492,16.8651,16.5096,16.23842,0.05259569,218.16497949698925,-50.11034611695284,0
GALAXY,17.84916,15.97672,15.10772,14.66603,14.33163,0.04446643,205.3125028175414,-21.662277143638818,0
QSO,18.98662,18.82015,18.56271,17.97068,18.1383,0.1981543,19.287561458666858,-25.128287078487375,0
STAR,16.7426,15.36676,14.84266,14.64813,14.57923,-0.000119482,50.579643526386235,-19.485344231061887,0
GALAXY,18.86643,17.80456,17.38041,17.09877,16.89632,0.04852386,224.11778263672096,52.833827635258416,0
GALAXY,18.01783,16.75631,16.27091,15.96417,15.84604,0.04237137,74.8165829251809,-31.65220746680884,0
GALAXY,18.32455,16.37959,15.42185,14.8957,14.4623,0.04905988,181.46522870943275,0.3416724724796438,0
STAR,18.93509,17.94441,17.61839,17.47134,17.4377,-0.000363347,196.15740697058163,22.303265914421377,0
GALAXY,19.03568,17.83315,17.27136,16.9555,16.68215,0.04451566,102.0625884975382,-48.20786096695108,0
GALAXY,18.86761,17.55323,16.83234,16.43805,16.146,0.1160674,341.43305599493743,39.36516968655701,0
QSO,18.14886,18.00999,17.8057,17.86247,17.7337,0.9766304,303.28707846080704,8.480037552890579,0
GALAXY,19.37784,17.53498,16.53794,16.08764,15.72259,0.1194124,260.05446274780746,-9.579390654351954,0
GALAXY,19.20387,17.94208,17.43093,17.17556,16.92568,0.04832332,28.077791907387272,55.7611248128965,0
QSO,19.33711,19.14819,18.93064,18.99063,19.03506,1.36581,38.20680695124699,-46.17085334666724,0
GALAXY,19.41879,17.30559,16.17204,15.67274,15.25782,0.1192994,177.40128451138406,68.97167471057818,0
GALAXY,18.48667,17.49159,17.1851,16.91346,16.83682,0.05192149,57.85680570875484,10.988772366006671,0
GALAXY,19.26488,18.05807,17.56896,17.26843,17.16026,0.07953468,352.1755668706107,19.65147828833848,0
GALAXY,18.52111,17.35928,16.82638,16.51683,16.38275,0.05302659,57.0672842498674,67.51061355040972,0
GALAXY,17.65184,16.04733,15.26785,14.86504,14.52306,0.04855243,175.48842076703065,57.164883812880475,0
GALAXY,19.49093,18.20084,17.43791,16.98051,16.62076,0.130923,131.08358046294194,18.281172387942064,0
GALAXY,18.0844,16.6902,16.05543,15.68923,15.40589,0.05056417,230.17911172347527,45.57378669267135,0
GALAXY,19.42103,18.18713,17.67864,17.3773,17.14368,0.04620564,46.45310720019297,-12.002491758078564,0
GALAXY,18.95446,17.60806,17.07609,16.7186,16.53841,0.09031847,154.91391409526074,8.527995629954333,0
GALAXY,19.09213,17.53847,16.79044,16.41159,16.13589,0.0400341,98.89381181057172,-78.827375392468,0
GALAXY,19.48437,18.15876,17.64105,17.30548,17.25305,0.1010378,319.5905488818077,-73.82557475999157,0
GALAXY,18.99697,17.37682,16.5555,16.08385,15.71007,0.0436736,14.61085636849023,59.29657275353978,0
GALAXY,19.05035,18.4919,18.0033,17.86869,17.39602,0.2867131,328.9418978423253,-79.2591019771506,0
GALAXY,19.25372,18.10444,17.57772,17.24394,17.10522,0.1195805,299.87788987908016,-59.50815738613069,0
STAR,16.54939,15.63001,15.36026,15.25516,15.25221,-0.000752677,107.12545791869356,53.24987861107948,0
STAR,18.67881,17.75691,17.48336,17.36665,17.35294,-0.00064172,284.1446356837577,-89.79372888691387,0
GALAXY,19.2056,17.49104,16.53447,16.02749,15.6624,0.08281163,11.23688172194912,-39.16722080774443,0
GALAXY,19.22584,17.56534,16.73418,16.28176,15.94618,0.100664,348.0715981056217,15.12695840879192,0
QSO,19.31196,18.53956,18.55171,18.37323,17.99749,2.403485,189.57417933232415,17.180987664473392,0
GALAXY,18.93571,17.03221,16.17142,15.76512,15.44101,0.06520925,109.1811693835603,49.88752348130524,0
GALAXY,17.48361,15.63938,14.82809,14.45045,14.15943,0.04895782,130.52995653408374,1.0667258085906752,0
GALAXY,19.35952,18.03527,17.31818,16.95039,16.70988,0.1108966,23.90592724577905,1.6923365155746524,0
GALAXY,18.72066,17.66222,17.15411,16.81595,16.64474,0.1080502,356.1658250551341,40.55590359732608,0
GALAXY,19.10673,17.68412,16.91911,16.51781,16.18204,0.08723062,14.145100254249282,-0.2475966120689747,0
QSO,19.24514,19.15989,19.29338,19.45932,19.51612,2.110674,235.76656433322924,19.528395581451036,0
GALAXY,19.46014,17.92984,17.16705,16.79482,16.54531,0.06653296,159.38493397432498,71.59933228590918,0
GALAXY,19.50981,18.05981,17.37546,16.99551,16.78324,0.08279927,341.60983854793744,-17.73881862977305,0
GALAXY,18.10524,16.13432,15.24803,14.83652,14.52121,0.06695123,88.55990651044625,-20.677487234539996,0
QSO,18.66057,18.60685,18.47679,18.49656,18.55966,1.360628,191.5512566176841,-89.36118146434116,0
QSO,18.88394,18.58526,18.48009,18.32334,18.41388,1.522483,173.64823508979106,20.416727073821747,0
GALAXY,19.47073,18.8362,18.6129,18.21487,18.21581,0.06750615,253.03191985803647,-84.64105666671624,0
GALAXY,18.30451,17.17889,16.71593,16.39559,16.18066,0.04637036,24.483683502871383,0.7467281510969315,0
QSO,19.13325,19.15302,19.21704,19.02573,18.94689,1.790251,69.76408680840774,54.762082025800794,0
GALAXY,18.58751,17.17377,16.53375,16.1309,15.8329,0.04050552,77.24333523342594,8.985792693539352,0
QSO,18.33826,18.39717,18.68273,18.90095,19.11396,3.829476,265.73427174300826,-41.46549026099832,0
GALAXY,19.25604,17.6532,16.75007,16.29713,15.99143,0.1583432,68.08993067762643,51.510315860886834,0
GALAXY,19.52226,18.22834,17.72368,17.45032,17.25189,0.06539673,206.4570350007516,-41.450939265143006,0
GALAXY,17.81938,15.84023,14.96618,14.54106,14.21984,0.04286881,77.48777538034334,41.94572057026176,0
QSO,19.33451,18.45916,17.40182,16.90077,16.59251,0.2062602,310.1849820302322,19.846521934241625,0
GALAXY,19.23943,18.27191,18.23266,17.98375,18.01421,0.05291956,339.18676361626984,-59.40066658535979,0
GALAXY,19.26192,18.1809,17.69462,17.3818,17.16754,0.1081618,186.65747097920655,72.92409747195342,0
GALAXY,17.40667,15.65701,14.89114,14.51393,14.20178,0.04276533,126.83119831530418,-53.88413706770477,0
GALAXY,19.52193,18.35954,17.77201,17.40485,17.19616,0.1073736,84.26079900629969,88.12567334532056,0
GALAXY,18.91889,16.8734,15.8707,15.40634,15.06089,0.1076107,17.921160548295756,-88.68411204211066,0
GALAXY,18.90147,17.58124,16.91747,16.51585,16.22229,0.1081952,96.66002743109834,-42.572992114277454,0
GALAXY,17.77038,16.48512,15.98867,15.74939,15.4929,0.05344184,235.52488078031445,-54.02514649064421,0
STAR,19.1794,18.21999,18.06456,18.03171,18.06154,-0.000569264,192.1020952713159,-87.48118616931673,0
STAR,16.691,15.36581,14.89075,14.73145,14.68298,-0.000288973,339.85486018113386,41.8262220265168,0
STAR,17.71877,16.82975,16.53588,16.42243,16.40706,-0.000658178,142.6598144970122,34.81664437792733,0
STAR,18.4395,16.76702,16.14296,15.93371,15.84551,-4.82e-05,249.79080323822205,52.62317358388748,0
STAR,18.18213,16.4616,15.84187,15.64299,15.56818,-0.000127941,176.1561890910437,-43.79426163637825,0
GALAXY,16.83831,15.84927,15.58596,15.41435,15.32986,0.02873155,184.5274377327162,-10.019669925065417,0
GALAXY,18.58926,16.99501,16.16858,15.70117,15.37249,0.0534128,96.3987532574823,28.640433891878544,0
GALAXY,19.1923,18.10315,17.63469,17.33934,17.13445,0.04664434,163.78227966311988,-10.841669300134155,0
GALAXY,17.87093,16.65381,16.18068,15.88105,15.69048,0.03403757,169.4825989245746,35.51863865722484,0
GALAXY,18.47674,17.35491,16.9305,16.67635,16.47602,0.03428423,254.3913078296162,24.115213519279592,0
GALAXY,18.55622,17.32955,16.5743,16.16316,15.83828,0.0963771,338.630399707001,-69.36339545600823,0
GALAXY,19.17625,18.12824,17.7701,17.56984,17.40899,0.0353776,118.55565989370156,50.58776179385424,0
STAR,18.65278,17.6414,17.30483,17.19275,17.15416,0.000121064,15.19216868926744,39.72174463665328,0
STAR,18.81132,17.53502,17.00397,16.81813,16.72058,3.32e-05,178.6662451802303,28.05018977113295,0
GALAXY,18.81886,17.54056,17.00047,16.67307,16.43238,0.03528344,196.0060795737007,-62.08315087121958,0
GALAXY,19.29746,17.33194,16.24203,15.73388,15.31874,0.0,60.63859840748949,-41.76063921683454,0
STAR,18.69781,17.75888,17.34938,17.22272,17.15885,0.00059454,273.767258259384,-19.228134314231923,0
GALAXY,18.15245,16.42766,15.56375,15.08236,14.74962,0.07393959,354.574479038937,-39.612668101840185,0
STAR,19.17856,17.45749,16.74026,16.49478,16.33925,0.000243323,340.47889812304595,-48.994147678296336,0
STAR,18.9618,17.80478,17.32501,17.12839,17.04273,0.000640225,70.95817397651479,54.96438062911963,0
STAR,19.15332,18.05538,17.63226,17.44233,17.34073,0.001530314,315.1307663642739,24.881804344836425,0
STAR,17.99249,15.92869,15.11373,14.8083,14.63797,8.96e-05,253.6177091082065,11.784983679045055,0
STAR,19.30554,17.54408,16.8663,16.60973,16.46262,0.000139891,163.38476297048817,-49.3285120464143,0
STAR,19.4785,17.07835,15.98385,15.52223,15.25014,-4.35e-05,194.61995795690245,75.25378120835543,0
GALAXY,19.20034,17.44335,16.47953,15.97518,15.61525,0.1246059,305.85606299368493,-55.58705296248307,0
GALAXY,19.14365,17.16607,16.25355,15.81164,15.49303,0.08210291,172.84857826981434,53.09116790844189,0
STAR,18.37007,17.46998,17.08048,16.94849,16.85687,0.000189108,134.35465287784567,84.00108000695275,0
STAR,18.50785,17.56995,17.27076,17.15082,17.0901,0.000630957,177.5690974893549,40.87669126036249,0
GALAXY,19.56862,18.23319,17.4147,16.97017,16.64555,0.1261418,208.48672945261768,88.71457953323335,0
STAR,19.32964,18.42975,18.16728,18.08504,18.0344,-0.000194774,68.06795536020559,27.189201056030413,0
STAR,18.83797,17.59691,17.05952,16.88013,16.77049,-0.000263727,324.32678289611664,-50.857138151298905,0
GALAXY,19.05556,17.83111,17.22766,16.83745,16.61887,0.1187062,242.70730157866095,-53.31249113102796,0
GALAXY,19.41653,18.35903,17.60192,17.22189,16.93095,0.1577138,227.976810241496,-31.57842883401426,0
STAR,17.34117,16.1733,15.68318,15.49827,15.36557,2.73e-06,35.81864142502973,-88.71659636021892,0
STAR,18.72048,17.65905,17.22407,17.05397,16.95918,4.01e-05,217.50261774213303,32.705724614910224,0
STAR,16.74521,15.73448,15.36343,15.21272,15.12675,0.000849436,43.54583840585724,-41.639798766991035,0
GALAXY,19.25924,18.23911,17.77199,17.48152,17.33762,0.122218,28.33116307034366,56.7329818126955,0
STAR,19.51426,18.6796,18.37478,18.27172,18.21093,0.000221888,189.8319224312616,-25.348922899325956,0
STAR,19.47536,17.74848,17.03068,16.73193,16.53696,0.000551214,145.0027922567382,-3.6078311766037103,0
GALAXY,18.52588,16.95037,16.35909,16.02551,15.69842,0.02078613,211.97169725624036,83.82400498086648,0
GALAXY,19.06051,17.60045,16.77157,16.3807,16.02799,0.1208378,32.11998050060589,-46.40901785149013,0
STAR,19.5104,19.42008,19.74484,20.06969,20.6474,-0.000140204,155.15390262501302,39.82573753735312,0
GALAXY,18.15621,17.08972,16.73334,16.63736,16.4984,0.02087503,62.92321741625687,45.9212020749751,0
STAR,18.68865,17.78383,17.48481,17.4233,17.3353,0.000576769,355.35603093268196,-50.220331645745674,0
STAR,19.10498,17.57137,17.00403,16.81922,16.65758,-8.22e-05,202.0140764766628,0.17943059019521,0
GALAXY,19.40313,18.29524,17.51231,17.12099,16.87827,0.1852222,247.47726993871223,-26.9636534436657,0
STAR,17.50237,16.50231,16.08183,15.91243,15.81577,0.000764086,117.15058104573882,48.94312381201604,0
STAR,18.80828,17.9673,17.66856,17.55702,17.49723,-4.91e-05,34.10600932056389,22.046997425226735,0
STAR,17.80315,16.61922,16.17091,16.02812,15.9451,0.000160793,351.31351060207317,-4.323050125101531,0
GALAXY,19.30733,18.34159,17.51655,17.10833,16.84292,0.2049748,103.05325273794595,50.2853877085893,0
GALAXY,19.22039,18.17794,17.4682,17.08062,16.88022,0.1836345,152.5709466624867,-47.67199739848493,0
GALAXY,19.5199,18.26854,17.687,17.40078,17.15199,0.06047695,233.951011812927,45.65193850518463,0
STAR,18.02053,16.58268,16.01536,15.77514,15.66216,3.04e-05,8.891027167000063,65.76737617670838,0
STAR,19.54794,18.6376,18.39116,18.27621,18.2354,-0.000746159,291.6932869862233,68.15188742536304,0
QSO,18.71452,17.39962,16.4785,16.05373,15.74422,0.1572527,193.1681484103033,51.0612467435287,0
STAR,19.4042,18.42456,18.14087,18.03765,18.01326,0.000320251,100.15818734477595,-16.557449940311628,0
STAR,17.48144,16.32836,15.91412,15.76071,15.68877,4.15e-05,22.17887470528893,86.72544408920885,0
STAR,18.97943,17.80664,17.37475,17.18407,17.11773,8.18e-05,58.49942957079892,-21.673144111960823,0
STAR,19.535,18.05208,17.4339,17.17358,16.98485,0.000340708,322.2121891872373,24.952571838436626,0
GALAXY,18.69098,17.66311,17.29742,17.00269,16.91913,0.06240619,246.96872061692076,-61.00664794749564,0
GALAXY,19.15094,18.09321,17.60335,17.27959,17.14821,0.1151964,89.96461978928035,86.4808017545507,0
GALAXY,18.63508,17.3618,16.63587,16.2711,16.07431,0.1112659,23.61627538021063,36.71746593563938,0
GALAXY,19.37695,17.99182,17.33057,16.94163,16.64449,0.08598596,248.62151245918903,45.6079581443463,0
GALAXY,19.35645,17.40928,16.44314,16.01979,15.6759,0.1117806,206.06678134839544,-78.16019338599398,0
GALAXY,19.32212,18.15855,17.62229,17.2464,17.07263,0.1308844,145.6270288049646,47.41520655972093,0
GALAXY,19.14855,18.04506,17.43543,17.03516,16.87172,0.1382033,130.90012170842297,49.45021725970824,0
GALAXY,19.07322,17.77971,17.09404,16.75613,16.67287,0.1104834,78.05313933447898,30.919090745201373,0
QSO,19.55759,19.25927,19.19958,18.94177,18.90859,1.700014,241.0600523535063,-37.45626951773814,0
GALAXY,19.43475,18.01707,17.30977,16.8571,16.58849,0.1011219,349.4404900057934,-1.855792411041321,0
GALAXY,19.05127,17.91999,17.46708,17.1048,17.00166,0.08698221,63.257488501257306,-70.12181316443103,0
STAR,18.76616,17.91609,17.58907,17.44886,17.41607,-0.000103363,214.9619832055812,-5.114328037352536,0
GALAXY,19.46416,17.44233,16.42771,16.01243,15.67224,0.1162765,152.70662006855144,-46.111706531927126,0
GALAXY,19.54032,17.7876,16.92485,16.44782,16.08893,0.08902003,160.80793982807936,-27.162542431065233,0
GALAXY,19.2347,17.94994,17.24903,16.88208,16.6835,0.1093436,91.49302084601318,-60.73192648733425,0
STAR,18.61701,18.64862,19.05617,19.36374,19.7334,-0.000145635,297.04855523811085,-48.590213805558534,0
GALAXY,19.07623,17.80333,17.14007,16.72499,16.51367,0.1535323,174.6920174930068,-76.21764447237908,0
GALAXY,18.95039,17.86381,17.50238,17.22844,17.14312,0.09063861,195.6261067913751,75.58224595864584,0
GALAXY,19.13871,17.89255,17.15458,16.75392,16.50815,0.1548379,109.71392860703727,5.473923835572606,0
GALAXY,19.2304,17.82257,16.97016,16.45071,16.11515,0.1365892,65.4510476401019,-18.58644517270686,0
GALAXY,19.58393,18.02201,17.02124,16.58774,16.22492,0.1355882,30.927739753015373,6.305258298381105,0
GALAXY,18.90358,17.71338,17.18051,16.83027,16.58421,0.08207037,257.0828907329697,23.092781126679483,0
GALAXY,18.90951,17.34743,16.60007,16.19603,15.88355,0.07986909,70.64434140762802,75.93818280648284,0
GALAXY,18.20099,17.3812,17.21683,17.11916,17.04035,0.0279711,248.4271275079672,-57.8352685884636,0
GALAXY,19.54178,18.32107,17.76681,17.42197,17.32798,0.1044902,140.5355205769034,-36.80055024566083,0
GALAXY,18.38426,17.16695,16.38097,15.95168,15.67543,0.1603603,149.67892835627453,85.64208054194066,0
GALAXY,18.73359,17.4823,17.00381,16.72546,16.63228,0.1063388,168.90389859339783,-23.18526240326561,0
QSO,18.42472,18.32748,18.15513,17.94509,17.71956,0.255159,132.37506292591556,-85.93890286368102,0
GALAXY,18.37883,16.32108,15.30301,14.84614,14.49638,0.1022092,36.22319180013243,-63.42417132531141,0
GALAXY,19.22516,18.15972,17.57144,17.22792,17.01337,0.1596445,111.46745160102448,-85.25903368526063,0
QSO,19.06651,19.09573,19.07942,18.8171,18.86828,1.837865,238.94436984981783,88.18616563573113,0
GALAXY,19.22559,17.30335,16.3106,15.85596,15.49852,0.1038388,239.68238452879353,-39.80324718157985,0
GALAXY,18.61925,16.54147,15.51282,15.07296,14.76075,0.1054655,103.04075060639798,76.23769624852068,0
GALAXY,19.59255,17.57385,16.5424,16.11305,15.7552,0.1093465,165.63694556076766,89.25952963674885,0
GALAXY,19.07506,17.89567,17.30803,16.99265,16.87239,0.08143561,69.6410020842975,17.97141980576056,0
GALAXY,19.40683,17.72495,16.77014,16.368,16.05371,0.1042049,75.73394935074089,-84.02466328819888,0
QSO,19.26936,18.92753,18.8115,18.54709,18.54994,0.5384061,8.296951826378667,-75.31350653035315,0
STAR,19.31843,18.23345,17.85341,17.72226,17.72063,-0.000372181,322.82875796678803,-3.31397008058201,0
QSO,18.99553,18.69853,18.44378,18.50162,18.69406,1.021832,75.85439942696624,-16.889037675932528,0
GALAXY,18.30367,16.70793,15.98614,15.60376,15.29919,0.02810622,81.91219569712679,19.111915040718173,0
GALAXY,19.35075,18.03179,17.45678,17.11616,16.91973,0.09877037,100.65651575224746,-11.007394251954494,0
GALAXY,18.17575,17.24731,17.10248,16.90595,16.88996,0.05524432,45.86690581035444,78.13383286886719,0
GALAXY,19.26132,17.57672,16.81946,16.43175,16.1311,0.05587082,230.13463794529065,6.253148774431992,0
QSO,18.83863,18.62709,18.41281,18.29319,18.24026,1.432846,27.05146314393117,34.87069106323959,0
GALAXY,16.78648,15.59648,15.17024,14.92366,14.86014,0.01931784,48.31287347748609,71.36734907564937,0
GALAXY,18.66362,17.67491,17.2077,16.85767,16.67229,0.09405024,232.11242157243345,-63.56306235002267,0
QSO,18.34527,18.14055,17.93281,17.87583,17.8449,1.408558,122.2778233733194,-48.64776225866486,0
GALAXY,18.40613,16.5611,15.67238,15.21015,14.85081,0.06748982,254.86121761242805,-70.6826411146773,0
STAR,17.57432,15.7761,15.10021,14.82369,14.69458,-0.000108672,200.6729080812511,-64.86508813861579,0
STAR,16.35411,15.36218,15.16367,15.11111,15.14995,-0.000199579,92.16762230214472,2.265114048161962,0
QSO,19.49423,19.27682,19.17929,19.01594,19.01348,1.54791,234.2980621761581,-32.187733385856475,0
STAR,18.71659,17.71405,17.34747,17.2254,17.17612,0.000224314,41.85852490543704,-13.828888885184114,0
QSO,18.10613,17.30118,17.09378,17.21194,16.99109,0.9176456,193.10773790881095,86.84816972293112,0
GALAXY,18.66625,17.37481,16.77762,16.43484,16.20444,0.07281715,157.37331781621248,-61.79321739672934,0
GALAXY,19.22516,17.97956,17.16069,16.70736,16.39718,0.1409499,96.43448981427868,7.346172743653611,0
GALAXY,18.98292,17.6378,16.95176,16.58465,16.35638,0.08550737,217.44179918622004,-72.20319209034282,0
GALAXY,19.47421,17.62996,16.74303,16.35382,16.02758,0.08571386,313.6800932425017,-32.67066361250185,0
GALAXY,18.26813,17.2419,16.8041,16.54798,16.36221,0.03448889,359.6056919147076,4.954666261427747,0
GALAXY,19.0725,18.0419,17.38479,17.02726,16.83342,0.1447831,218.7945967476328,80.39371427376079,0
GALAXY,19.34803,18.11881,17.25317,16.82927,16.54035,0.1712528,145.69411475850126,-19.578920168973056,0
GALAXY,17.13669,16.12643,15.68074,15.4805,15.25371,0.02233166,81.07455607783258,-78.31679468135943,0
GALAXY,18.86904,17.33856,16.6038,16.20782,15.95463,0.08197466,92.55459218224024,-20.13093936714296,0
GALAXY,19.14551,18.04771,17.56173,17.24048,17.04851,0.08386669,172.60379213391565,-63.76658834268401,0
STAR,18.56883,17.3742,16.95487,16.79262,16.72035,0.000204871,132.2199724610553,-48.60186960753985,0
GALAXY,19.42416,17.97603,17.29479,16.88376,16.59611,0.08395544,328.97322814497994,21.256312169698276,0
GALAXY,19.42615,18.13907,17.60488,17.30077,17.05085,0.08713547,132.58636835605543,-77.8637040833373,0
STAR,19.44328,18.33955,17.20383,16.97017,16.8421,-2.18e-05,134.44005281235678,-6.349723874993273,0
QSO,19.32435,19.21973,19.06963,18.75994,18.44706,2.123821,138.0724244762317,19.703085481937592,0
GALAXY,18.03361,16.34152,15.52564,15.12496,14.80656,0.08399552,301.1832757323569,-14.065489373850554,0
QSO,19.23867,19.19681,19.17012,18.90662,18.79437,1.873134,234.2837955048847,-86.55725688772854,0
GALAXY,18.32024,16.94714,16.24431,15.88095,15.55382,0.1009769,221.10078611480137,87.39348424251577,0
GALAXY,19.31317,17.92482,17.11001,16.67236,16.37567,0.1476101,120.29148805819038,-23.919161878703648,0
GALAXY,19.56614,17.36954,16.20733,15.73917,15.3584,0.1457635,294.4455036596782,50.14389364798805,0
GALAXY,17.46054,16.41143,16.00705,15.81394,15.63874,0.01237381,13.810990088052408,-31.383631406258417,0
GALAXY,18.72999,17.79751,17.3861,17.04681,16.92002,0.1165503,313.48698204172075,-4.496983741184607,0
GALAXY,19.49605,18.62081,18.14798,17.72712,17.64627,0.1876075,184.58996392581463,-20.076544330020624,0
STAR,18.95265,18.08169,17.83736,17.73827,17.71383,0.000420751,143.3700845508286,-28.342938688270618,0
STAR,18.07424,17.12895,16.99964,16.62279,16.54517,0.00015758,178.98022105836685,-86.06675210259982,0
GALAXY,19.02045,17.82898,17.43766,17.18972,17.0222,0.02519036,240.2695909921792,-25.196231186189365,0
QSO,19.27257,18.91059,18.82441,19.0124,18.84993,0.8043503,4.59555354644305,70.1081982719154,0
GALAXY,19.23569,17.78906,17.03568,16.60553,16.28848,0.07635381,313.75866832496916,34.27080094686306,0
GALAXY,19.26526,17.31532,16.35976,15.93993,15.58765,0.08799091,160.82622911210143,-63.82388536282083,0
QSO,18.91656,18.52353,18.37243,18.45027,18.35817,0.874019,123.46794709202814,16.40790083209305,0
GALAXY,19.49994,17.65897,16.78948,16.41377,16.08191,0.07154913,49.76840362826056,70.60155479079688,0
QSO,17.86844,17.31957,16.82959,16.45046,16.30176,0.07327056,158.20753476903917,36.006127373673976,0
STAR,17.76939,16.78627,16.44158,16.30761,16.25705,2.69e-05,178.67619766237638,-63.23680937579459,0
STAR,19.39832,18.46753,18.21951,18.11605,18.06818,0.00043121,145.312810017652,66.2098494122094,0
STAR,19.40409,18.49681,18.18448,18.08399,18.00669,0.000320358,244.31763377768297,-35.722077608004234,0
GALAXY,19.30338,17.69256,16.74431,16.27223,15.90554,0.145321,151.52275035332136,-8.266294023778485,0
GALAXY,19.33829,17.45401,16.51886,16.11592,15.76633,0.08886261,346.1103280247664,4.7056967440463495,0
GALAXY,19.50167,17.50051,16.52062,16.08367,15.71161,0.08923479,215.73990641649303,63.09118878807516,0
GALAXY,18.01536,16.23862,15.33047,14.90097,14.55144,0.09133449,290.6920568346872,77.689349126579,0
GALAXY,19.03532,17.02743,16.04369,15.61524,15.27085,0.09000984,39.36812511941238,77.3375180023001,0
GALAXY,19.15458,17.2854,16.32704,15.90356,15.54574,0.09121478,143.02486546052606,-88.56824736986269,0
QSO,17.71589,16.97175,16.33239,15.87558,15.64381,0.08696799,121.26517252097496,75.93992740538229,0
STAR,18.35759,18.69835,19.15792,19.16035,18.92554,4.36e-05,205.01365972917304,-80.21034611971697,0
GALAXY,18.95813,17.78794,17.33491,17.02222,16.8522,0.07698186,310.00086722211324,-42.160741772861634,0
GALAXY,19.44719,17.48708,16.52227,16.07561,15.69825,0.0882015,28.2017583943224,2.6978138510099257,0
GALAXY,19.35957,18.04267,17.49507,17.19149,17.05745,0.04763122,26.12692729609588,-3.6133759792090814,0
STAR,18.4911,18.37202,18.70874,18.99179,19.39455,5.04e-05,306.1143749367356,18.84776289973055,0
GALAXY,18.58887,17.17557,16.48242,16.10231,15.82097,0.0320431,76.62603097380867,-3.699678827338957,0
STAR,18.78783,17.69392,17.33765,17.21887,17.17516,8.18e-06,240.75117160193292,78.18762233527573,0
STAR,19.02532,18.11144,17.78015,17.64654,17.59637,0.000269638,195.43612764988987,-46.70120732137434,0
GALAXY,18.52784,16.70959,15.849,15.41533,15.15448,0.06566586,299.8416941594026,-40.67555507307255,0
GALAXY,18.97514,17.88254,17.22392,16.78608,16.55005,0.1126162,45.03200754110527,75.73282842475012,0
GALAXY,18.51657,16.44484,15.47413,15.01141,14.68348,0.06721833,46.72186766014006,-76.18688752585388,0
GALAXY,17.48545,16.02229,15.36329,14.98947,14.72679,0.03447212,200.45460970019073,19.720947942865777,0
GALAXY,19.09723,17.51076,16.64287,16.18639,15.85804,0.09329747,340.6963152090135,32.71247137180994,0
GALAXY,19.09625,17.44763,16.76829,16.35761,16.12992,0.06646752,149.39919301347152,0.99751021735311,0
STAR,17.05276,17.32744,17.78242,18.10871,18.39612,-0.000383537,117.69915609169018,34.9617381881647,0
